id,organ_part,organ,body_part
1,anamnesis,anamnesis,encephalon
2,cerebellum,cerebellum,encephalon
3,cerebrum,cerebrum,encephalon
4,hippocampus,hippocampus,encephalon
5,pineal_gland,pineal_gland,encephalon
6,left_ear,ears,muzzle
7,right_ear,ears,muzzle
8,left_eye,eyes,muzzle
9,right_eye,eyes,muzzle
0,snout,snout,muzzle
a,tongue,tongue,muzzle
b,fangs,fangs,muzzle
c,backbone,backbone,trunk
d,heart,heart,trunk
e,pulmones,pulmones,trunk
f,viscera,viscera,trunk
g,paunch,paunch,trunk
h,hepar,hepar,trunk
i,left_foreleg,legs,limbs
j,right_foreleg,legs,limbs
k,left_foreclaws,claws,limbs
l,right_foreclaws,claws,limbs
m,left_hindleg,legs,limbs
n,right_hindleg,legs,limbs
o,left_hindclaws,claws,limbs
p,right_hindclaws,claws,limbs
q,spleen,spleen,trunk
